Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
YIPI TELECOM LTDA ;03/04/2006;Rio de Janeiro;RJ
M. J. CENATTI & CIA LTDA;22/08/2016;Nova Aurora;PR
NETTRON TELECOMUNICAÇOES LTDA;24/04/2008;Canguçu;RS
INTEGRA TELECOMUNICACOES LTDA - ME;21/06/2017;Pouso Alegre;MG
R V R COMERCIO E REPRESENTACOES LTDA - ME  ;14/12/2012;Imperatriz;MA
A G BRAGA E CIA LTDA - ME;01/02/2016;Breves;PA
BRASILTEC SOLUÇÕES DIGITAIS EIRELI - ME;30/11/2009;Campo Grande;MS
FHP TELECOMUNICAÇÕES E COMERCIO VAREJISTA DE PRODUTOS DE INFORMÁTICA LTDA - ME;08/11/2012;Rio de Janeiro;RJ
NEW LIFE TELECOM EIRELI - EPP;29/08/2013;Ulianópolis;PA
L.T. SPECHT TELECOMUNICACOES - ME ;08/09/2014;Tapurah;MT
FLORIPA SERVER SERVIÇOS DE TELECOMUNICAÇOES LTDA ME;06/04/2010;Florianópolis;SC
VOLPATO SERVICOS LTDA - ME;03/01/2018;Porto Alegre;RS
D. A. COMÉRCIO E SERVIÇO DE INFORMÁTICA LTDA - EPP;20/06/2011;Cruzeiro;SP
MICROLINK TELECOM INTERNET BANDA LARGA LTDA - ME;19/02/2016;Virgem da Lapa;MG
CIDIA MOREIRA SOEIRO - ME;22/01/2016;Marco;CE
O S CONNECT INFORMATICA EIRELI;27/02/2009;Itirapina;SP
TESSI - TECNOLOGIA EM SEGURANCA E SISTEMAS DE INFORMACAO LTDA - ME.;01/06/2010;Pesqueira;PE
LUIZ FELIPE RODRIGUES - ME;21/11/2016;Delmiro Gouveia;AL
MONICA ADRIANA MELO FRANCA -INFORMATICA;18/07/2016;Saloá;PE
ANDRÉ GUERRA DO NASCIMENTO SERVICO DE COMUNICACAO - ME;06/06/2016;Recife;PE
SYSTEM COMPUTADORES LTDA - ME;30/11/2015;João Pinheiro;MG
SUNWAY TELECOM LTDA - ME;22/09/2009;Peruíbe;SP
MIDIX TECNOLOGIA EIRELI - ME;26/12/2014;Araguaína;TO
J CAVALCANTE DE LIMA INFORMATICA - ME;30/07/2015;Tamandaré;PE
NOVUMNET ACESSO A INTERNET EIRELI;16/07/2014;Hortolândia;SP
NT TELECOMUNICACOES DE JANAUBA LTDA - ME;06/10/2009;Janaúba;MG
JP PROVIDERS EIRELI - EPP;14/10/2010;São Paulo;SP
BRUNO LEONARDO DA SILVA BARBOSA - ME;05/08/2016;São José do Rio Preto;SP
TERA NETWORK TELECOMUNICAÇÕES LTDA - ME;24/08/2015;Icapuí;CE
VESCNET PROVEDORES DO BRASIL LTDA-EPP;04/09/2007;Recife;PE
FELIPE GERARDO ARAUJO DE LIMA - ME;14/02/2017;Caxias;MA
REDEWSP PROVEDOR DE INTERNET EIRELI - ME;15/03/2017;Santarém;PA
INFINIT SOLUTIONS LTDA - ME;24/06/2015;São Domingos;GO
AGRESTE ONLINE LTDA - ME;05/11/2015;Caruaru;PE
FRANCISCO DE ASSIS BARBOSA DE BRITO GOMES;26/09/2016;Orobó;PE
CLICK.COM TELECOMUNICACOES LTDA ME ;01/11/2010;Condado;PE
SILMAR ZAMBONI BERTONCHELI & CIA LTDA - ME;26/03/2013;Jaguari;RS
CENTRALNET TELECOMUNICACOES LTDA - ME;03/08/2016;Surubim;PE
BOSSNET PROVEDOR DE INTERNET LTDA - ME;23/05/2014;Rondon do Pará;PA
TOTAL CROSSING COMUNICAÇOES LTDA;06/07/2010;Ipameri;GO
SUPPLY NET SERVIÇOS LTDA - ME;22/02/2012;Palmeira dos Índios;AL
CALEMAS COMERCIO E SERVIÇOS LTDA - EPP;22/02/2016;Sorocaba;SP
SSNET TELECOM LTDA  - ME;28/11/2016;Ponto Belo;ES
RLINE TELECOM LTDA;30/08/2012;Pérola d'Oeste;PR
JM HONORATO - ME;22/10/2014;Belo Horizonte;MG
ISMAEL LEONARDO DA SILVA - ME;04/01/2017;Olinda;PE
SMC INFORMATICA TELECOMUNICACOES EIRELI - ME;08/06/2017;Goiânia;GO
MAIA E DUTRA LTDA - ME;13/12/2016;Jardim de Piranhas;RN
MAXINET SOLUCOES TECNOLOGICAS LTDA - ME;23/05/2016;Umuarama;PR
EL INFORMATICA LTDA ME;29/07/2014;São Carlos;SC
PLUGNET INFORMATICA LTDA -ME;18/08/2009;Lebon Régis;SC
NETVGA SERVICOS EM TELECOMUNICACOES LTDA;10/05/2007;Varginha;MG
REDFOX TELECOMUNICAÇÕES LTDA - ME;23/09/2009;Guarulhos;SP
SILVA & MORAES SERVICO DE COMUNICACAO MULTIMIDIA - SCM LTDA - ME;12/05/2010;Teodoro Sampaio;SP
CUBO NET SERVIÇOS DE INFORMATICA LTDA - ME;08/07/2015;Campo Grande;MS
MARCELINO CARDOSO DA SILVA;03/08/2016;União;PI
IDSUL SERVIÇOS DE INTERNET LTDA - ME;14/08/2014;Rio Negro;PR
A. L. MOTA DE PAULA;07/12/2015;Alvorada;TO
APOIOCOM DIGITAL LTDA ME;20/10/2004;Indaiatuba;SP
NCA TECNOLOGIA LTDA ME;15/08/2012;Belo Horizonte;MG
CONNECT MS TELECOMUNICAÇÕES LTDA;22/07/2010;Campo Grande;MS
SUPRITECH BURITI INFORMÁTICA LTDA - ME;31/01/2014;Buriti;MA
CLONIX TELECOM EIRELI - ME;10/10/2007;Criciúma;SC
ALISSON AUGUSTO LOPES ME;13/12/2013;São João Batista;SC
BANDATURBO PROVEDOR DE INTERNET LTDA ME;26/04/2007;Criciúma;SC
MARONLINE SOLUÇÕES EM TECNOLOGIA LTDA - ME;11/02/2015;Marilândia;ES
L.A. INFORMATICA LTDA - ME ;06/10/2010;Pedregulho;SP
R PINHEIRO ALMEIDA E CIA LTDA - ME;13/12/2016;Santa Helena;MA
LINX TELECOMUNICAÇÕES LTDA;29/08/2006;São Paulo;SP
CARLOS GUILHERME STOLZ ME;01/12/2009;Paracuru;CE
ANDERSON ARAUJO ALMEIDA - ME;23/02/2017;Lagarto;SE
CLIC REDE INTERNET LTDA - ME;16/07/2014;Santo Amaro da Imperatriz;SC
ROUTERNET PROVEDOR DE ACESSO LTDA - ME;04/07/2016;Ciríaco;RS
REDE CONNECT TELECOM LTDA;11/10/2011;Caculé;BA
PROVISIONE SERVICOS EM TECNOLOGIA EIRELI;28/11/2016;Fortaleza;CE
ELIZANDRO RODRIGUES DE JESUS DANTAS ME;31/12/2014;Aracaju;SE
PROCONECTA SERVICOS DE COMUNICACAO E INTERNET LTDA;27/09/2017;Fortaleza;CE
JOSE AUGUSTO VIEIRA PROVEDOR DE ACESSO A INTERNET - ME;02/03/2015;Monte Aprazível;SP
ARISTEU DIONÍSIO PEREIRA - ME;02/03/2015;Estiva;MG
RTC INTERNET VIA RADIO LTDA - ME;27/03/2012;Santa Maria;RS
VALDIJANIO VIEIRA DA SILVA EIRELI - ME;19/01/2016;Saloá;PE
JOSÉ AILTOM DE ALMEIDA;15/04/2015;Condado;PB
DONINI & SALDANHA TELECOMUNICACOES LTDA - ME;31/01/2017;Itapeva;SP
SIM INTERNET PROVEDORES DE INTERNET EIRELI - ME;23/02/2017;Joinville;SC
CORDEIRO & COSTA LTDA - ME;12/09/2014;Palmeiras do Tocantins;TO
CRISTIANO DA SILVA ROCHA INFORMATICA ME;11/10/2011;Tarumã;SP
NET INFORMATICA QUEIMADENSE LTDA ME;12/02/2014;Queimadas;BA
MIXCONECT TELECOM LTDA  - ME;10/04/2012;São João Batista;SC
SSEM SERVICOS SISTEMAS E MULTIMIDIA LTDA;24/05/2013;Rio de Janeiro;RJ
JAS GAB PROVEDORES DE ACESSOS A INTERNET SCM E COMERCIO DE EQUIPAMENTOS DE INFORMATICA E SERVICOS LTDA-ME;25/08/2011;São Paulo;SP
PHD SERVICOS DE COMUNICACOES LTDA - ME;17/11/2016;Fortaleza;CE
IFTNET INFORMATICA LTDA;16/01/2008;Presidente Prudente;SP
J. J. TEIXEIRA ALVES - INTERNET - ME;31/08/2017;Almirante Tamandaré;PR
BRUNO TODER SANTOS - ME;24/03/2011;Cajobi;SP
ALPINET INFORMATICA LTDA;30/11/2009;Alpinópolis;MG
FRANCISCO DE ASSIS SIQUEIRA - ME;22/07/2016;Lagoa;PB
EVALDO SOUSA CARVALHO ME;16/05/2016;São João do Piauí;PI
NETHOME PROVEDOR DE INTERNET DE RIO BONITO LTDA ME.;16/04/2008;Rio Bonito;RJ
THADEU REZENDE MUNIZ;27/04/2012;Itaperuna;RJ
LUANETT TELECOMUNICAÇÕES LTDA - EPP;09/05/2016;Três de Maio;RS
WEB VOLT PROVEDOR DE ACESSO A INTERNET EIRELI - ME;01/09/2016;Santa Rita do Sapucaí;MG
IP SOLUCOES TECNOLÓGICAS LTDA - ME;09/05/2016;Amparo do Serra;MG
WELT COMERCIO E SERVIÇOS DE INTERNET LTDA - ME;30/03/2015;Almirante Tamandaré;PR
A J INFORMATICA TELECOM LTDA  - ME;10/08/2016;Cariacica;ES
FL INFORMATICA LTDA;22/02/2012;João Pessoa;PB
GESSNER TELECOM LTDA - ME;05/04/2011;Corupá;SC
MDANET SERVIÇOS DE COMUNICAÇÃO E INFORMÁTICA LTDA - ME;17/01/2011;Salto de Pirapora;SP
NETSERVER INFORMATICA E INTERNET LTDA ME;08/10/2012;Medianeira;PR
W LINK INFORMATICA LTDA - ME ;17/11/2015;Figueirópolis;TO
ILKACY MOREIRA DE JESUS - ME;04/07/2017;São Sebastião do Passé;BA
ATEIA COMERCIO E SERVIÇOS LTDA - ME;11/04/2013;Jaru;RO
HYPER NET TELECOMUNICACOES LTDA ME;25/08/2011;Chapecó;SC
AMIGA NET COMERCIO DE EQUIPAMENTOS E SERVICOS LTDA.-ME;28/07/2010;Mirassol;SP
GUIMARÃES & ZANINI LTDA - ME;10/05/2012;Jaci;SP
EVERSON DOS SANTOS INFORMATICA - ME;26/09/2016;Igrejinha;RS
R. NET SERVICOS DE INTERNET LTDA - ME;02/03/2011;Santo Antônio da Platina;PR
G L F DA SILVA - ME;10/10/2016;Recife;PE
OPENMINDS SYSTEMS LTDA;30/01/2008;Além Paraíba;MG
BIGDOT TELECOMUNICAÇÕES LTDA EPP ;30/04/2013;Casimiro de Abreu;RJ
NEOFLEX TELECOMUNICAÇÕES LTDA;04/06/2012;Poços de Caldas;MG
JOSE NILTON DE FREITAS E CIA LTDA - ME;11/05/2015;Bom Jesus do Araguaia;MT
GURISAT GURINET LTDA.ME;12/05/2010;São Mateus;ES
INTERNET SEM FIO O MUNDO EM SUAS MAOS LTDA - ME;14/11/2011;Valparaíso de Goiás;GO
G R V TELECOM LTDA ME;12/09/2012;Tobias Barreto;SE
ROX TELECOM LTDA - ME;16/05/2017;Mauá;SP
JESIEL AMERICO MERLI & CIA LTDA - ME;02/01/2017;São José do Rio Pardo;SP
CONECTNET  TELECOMUNICAÇÕES  LTDA;25/08/2011;Nova Hartz;RS
GTBA TELECOM LTDA - ME;23/07/2015;Guaratuba;PR
FRANKLIN PACHECO CASTRO - ME;26/09/2016;Sobradinho;BA
D. M. R. DE MENESES EIRELI - ME;13/03/2017;Presidente Dutra;MA
WELL NET TELECOMUNICACOES LTDA  - ME;14/11/2016;Olinda;PE
RETIRO TELECOM E INTERNET LTDA - ME;09/03/2017;Retirolândia;BA
CONECTA WISP LTDA - ME;22/07/2016;Santa Terezinha de Goiás;GO
MT.NET SERVICOS DE INTERNET LTDA - ME;17/08/2011;Catanduva;SP
D. M. DIAS ;30/03/2016;Camaquã;RS
B B INFORMATICA LTDA;22/10/2010;São Miguel do Iguaçu;PR
MTCASEMOD COMERCIO DE PRODUTOS DE INFORMATICA E SERVICOS LTDA;25/09/2012;Cuiabá;MT
LINHARES SERVICOS ON LINE LTDA-ME;19/03/2007;Linhares;ES
TOP VISION SISTEMAS DE SEGURANCA LTDA;30/01/2008;Cuiabá;MT
HOPNET TELECOM LTDA;22/10/2014;São Paulo;SP
CONECTE TELECOMUNICAÇÕES LTDA;31/01/2011;Poço Fundo;MG
LINQ TELECOMUNICACOES LTDA - ME;07/12/2016;Goiânia;GO
TO NO GIGA EMPREENDIMENTOS LTDA;11/03/2010;Correntina;BA
CITYNET COM. DE PROD. DE INFORMATICA LTDA - EPP  ;29/11/2010;Castanhal;PA
A.F. VIANA DE OLIVEIRA PROVERDORES - ME;01/12/2015;Maracanaú;CE
ANDRE LUIZ RAMOS GONCALVES - ME;07/07/2016;Chapadão do Sul;MS
GILBERTO SPILLER;15/08/2012;Sananduva;RS
A Z DE ARAUJO NETO - ME;24/03/2015;Alto do Rodrigues;RN
OLIVEIRA & ANDRADE INFORMATICA LTDA;16/09/2010;Brumadinho;MG
WF TELECOMUNICACOES LTDA - EPP;07/06/2017;Americana;SP
SUZANO COMÉRCIO E TELECOMUNICAÇÕES LTDA - ME;08/07/2015;Suzano;SP
BLUCOMPTEC INFORMATICA LTDA ME;25/11/2011;Canelinha;SC
TR DREAM PECAS E SERVICOS DE INFORMATICA LTDA - ME ;12/11/2013;Barueri;SP
INTELITEL TELECOMUNICAÇÕES LTDA - ME;19/06/2015;Canoas;RS
MDM SOLUÇÕES E TECNOLOGIA LTDA - ME;19/02/2016;Joanésia;MG
RADIOBRAS TELECOM LTDA  ME;28/02/2012;Ribeirão Preto;SP
H.L INFORMATICA TELECON LTDA  - ME;27/07/2017;São Francisco do Conde;BA
TBNET INFORMATICA LTDA;12/11/2014;Igarassu;PE
SAPICOM SERVICOS DE TELECOMUNICACOES LTDA - ME;02/06/2017;Fortaleza;CE
GENESYSNET PROVEDOR DE INTERNET LTDA ME;21/12/2010;Monte Aprazível;SP
3KANET PROVEDOR DE INTERNET LTDA-ME;01/10/2013;Virginópolis;MG
CHAPNET SERVICOS DE COMUNICACAO LTDA;11/07/2011;Chapadão do Sul;MS
LINK FLY TELECOM LTDA;02/07/2012;Belo Horizonte;MG
VB TELECOM PSI E TELECOMUNICACOES LTDA;01/12/2009;Monsenhor Paulo;MG
SUPERNOVA TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;31/08/2016;Campinas;SP
GP4 TELECOM LTDA - ME;31/01/2014;Santa Luzia;MG
RC SANTIAGO;01/12/2015;Parnamirim;RN
ROBERTO MANELLA AMOROSO - ME;18/03/2016;Cravinhos;SP
NET SUL INFORMÁTICA E SERVIÇOSDE PROVEDOR LTDA - ME;20/02/2014;Jacundá;PA
TASS TELECOM - SERVICOS DE TELECOMUNICACOES LTDA ;06/10/2011;Osasco;SP
MUCURINET COMÉRCIO E TELECOMUNICAÇÕES LTDA - ME;15/04/2014;Carlos Chagas;MG
JOSEFA DE OLIVEIRA SILVA - ME;21/07/2017;Vitorino Freire;MA
INFRA TELECOMUNICACOES MULTIMIDIA LTDA - ME;30/11/2015;Parecis;RO
L7 TECNOLOGIA LTDA - EPP;09/02/2017;São Leopoldo;RS
UAI TELECOM COMUNICACAO MULTIMIDIA LTDA;22/01/2008;Patos de Minas;MG
MEGA LINK TELECOMUNICAÇÕES LTDA - ME;29/07/2016;Cuiabá;MT
CONCHALNET TELECOMUNICAÇÕES LTDA - ME;05/11/2009;Conchal;SP
FOX TELECOMUNICACAO E INTERNET LTDA;11/12/2003;Jundiaí;SP
NETSI INFORMATICA E TELECOMUNICACOES LTDA;08/11/2005;Pouso Alegre;MG
DENISSON C. DE VASCONCELOS - ME;16/08/2016;Murici;AL
F L C  TELECOMUNICAÇÕES LTDA - ME;01/12/2015;Castelo do Piauí;PI
NETWAP TELECOM EIRELI - ME;03/05/2017;Belo Horizonte;MG
LFA SOLUÇÕES EM TI LTDA - ME;11/05/2015;Pedro Leopoldo;MG
CITY 10 TELECOM LTDA - ME;01/06/2010;Barbacena;MG
INTERAGE TELECOMUNICAÇÕES E INFORMATICA LTDA - ME;11/06/2010;Dormentes;PE
SUPER CONNECT TLELECOM LTDA ;31/01/2013;Olho d'Água das Flores;AL
CTI COMUNICACAO DE DADOS E TECNOLOGIA EIRELI EPP;23/01/2007;Diadema;SP
HELIO J. R. DE SOUTO ME;29/09/2016;Paulista;PE
ATTUS TECNOLOGIA EM TELECOMUNICAÇÕES LTDA - EPP;15/10/2014;São Paulo;SP
FIABLE COMUNICAÇÕES LTDA - EPP;14/07/2011;Cerquilho;SP
SOFTTELECOM COMERCIO E SERVICO LTDA - ME;13/10/2016;Mogi Guaçu;SP
PROVEDOR ELOINET LTDA;03/11/2008;Elói Mendes;MG
CAMPOSNET INFORMÁTICA LTDA - ME;05/05/2014;Campos Novos Paulista;SP
VELOTURBO SERVICOS DE INTERNET LTDA.;05/08/2008;Encantado;RS
AMORIM & ZANETTI AMORIM LTDA - ME;15/07/2015;Palestina;SP
C. DA COSTA SILVA-ME;15/12/2014;Telêmaco Borba;PR
APARECIDA JOSICLEIA LIMA DE CARVALHO - ME;03/05/2017;Propriá;SE
EI TELECOM EIRELI;16/05/2017;Passos;MG
NOVA INFRAESTRUTURA - LOCAÇÕES E PARTICIPAÇÕES LTDA.;15/04/2014;São Paulo;SP
RUBENS BUENO DE SOUSA - ME;18/02/2014;Águas Lindas de Goiás;GO
VAZ & SANTANA LTDA - ME;15/03/2017;Campo Grande;MS
WIMAX TELECOMUNICAÇÕES LTDA - ME;19/11/2015;Caxias;MA
PROVEDOR AMÉRICA ON LINE E SERVIÇOS LTDA - ME;03/04/2014;América Dourada;BA
CLAUDINEI FIGUEIRA & CIA LTDA - ME;27/02/2009;Votuporanga;SP
BIZZ SOLUÇÕES EM INTERNET LTDA;24/03/2005;Laguna;SC
MICROSOL COMERCIO E REPARACAO DE EQUIPAMENTOS ELETRONICOS LTDA ME;01/04/2014;Correia Pinto;SC
IZNET SERVICOS DE INFORMATICA LTDA;01/06/2010;Pindoretama;CE
A P RODRIGUES DE BRITO - ME;08/05/2017;Piracuruca;PI
REGIS NET INFORMÁTICA LTDA - ME;02/10/2014;Pedralva;MG
DIEGO SILVA CORREIA;17/11/2016;Juazeiro do Norte;CE
SIAT TELECOM INTERNET DEDICADA LTDA - ME;08/09/2016;São Mateus;ES
MG NET INFORMATICA E SERVICOS LTDA;05/05/2009;Touros;RN
R. COSTA DO NASCIMENTO - ME ;02/12/2015;Natal;RN
NET - DRP SERVICOS DE INTERNET LTDA - ME;26/03/2014;Dores do Rio Preto;ES
PRIMANET INFORMATICA LTDA;12/02/2009;Primavera do Leste;MT
AGS COMUNICAÇÃO E TECNOLOGIA LTDA ME;25/01/2011;Floresta;PE
CILNET COMUNICACAO E INFORMATICA LTDA. EPP;27/05/2003;Cerquilho;SP
JEFERSON DE OLIVEIRA CORREA - ME;09/05/2016;Novo Hamburgo;RS
EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA - ETICE;10/08/2010;Fortaleza;CE
LIVE SERVIÇOS DE TELECOMUNICAÇOES LTDA - EPP;06/12/2013;Xinguara;PA
EMPRESA DE INFORMATICA E INFORMACAO DO MUN. DE BELO HORIZONTE S/A-PRODABEL;09/11/2006;Belo Horizonte;MG
CLICK NET LINK INFORMATICA E TELECOMUNICAÇÕES LTDA - ME;31/08/2016;Paulista;PE
JOSE RIBAMAR MENDES REGO;25/01/2012;Anajatuba;MA
SCANET INTERNET E INFORMÁTICA LTDA - ME;08/05/2015;Petrolina;PE
Pronet Provedor Network Wifi Ltda-ME;08/10/2010;Taboão da Serra;SP
TELEON TELECOMUNICACOES LTDA;11/03/2003;Divinópolis;MG
SUL ONLINE TELECOM LTDA - EPP;02/07/2012;Araranguá;SC
SW INTERNET LTDA - ME;23/03/2015;Lauro de Freitas;BA
SAT TV MAIS - ASSESSORIA, INSTALACAO E MANUTENCAO DE SISTEMAS DE TV COLETIVA LTDA ME;21/01/2013;São João de Meriti;RJ
M K DOS ANJOS SILVA INFORMATICA;21/03/2017;Fortaleza;CE
SAMUEL FRAGA SILVA 06159318632;20/06/2016;Caeté;MG
AJATO TELECOMUNICAÇÃO LTDA  ;13/10/2006;São Paulo;SP
NETOESTE TELECOMUNICAÇÕES LTDA - ME;23/05/2013;São Jorge d'Oeste;PR
ANAELSON COSTA DE OLIVEIRA JUNIOR - ME;19/11/2014;Soledade;PB
PAULO HENRIQUE FERREIRA LOPES JUNIOR;21/09/2016;Fortaleza;CE
VERÃO COMUNICAÇÕES LTDA;30/11/2009;Buritis;MG
ORSINE E SOUZA TELECOMUNICAÇÕES LTDA ME ;31/10/2012;Itaúna;MG
AGYONET LTDA;10/08/2010;Nepomuceno;MG
H DE SOUZA FERREIRA - ME;08/05/2015;Tabatinga;AM
PRISCILA DIOGENES DE CARVALHO SAMPAIO - ME;20/01/2017;São Miguel;RN
TELECOMDADOS SERVIÇOS LTDA - ME;12/04/2011;Belo Horizonte;MG
AGIL COMERCIAL DO BRASIL INFORMATICA E COMUNICACAO LTDA;17/06/2016;São Paulo;SP
MEGA NET PROVEDOR DE COMUNICAÇÕES LTDA - ME;21/01/2013;Cotia;SP
BY AIR TELECOM LTDA - EPP;31/10/2012;Curitiba;PR
DELTA PROVEDOR DE INTERNET LTDA - ME;24/03/2015;São Thomé das Letras;MG
CONNECTA COM. E SERVIÇOS LTDA - EPP;15/04/2015;Dom Eliseu;PA
MARCELO MOREIRA DIONISIO GOIÁS TELECOMUNICAÇÕES ;25/11/2011;Trindade;GO
ANDRE LUIZ GONCALVES DA SILVA;15/09/2011;Curvelo;MG
FUSÃO TELECOM LTDA ME;26/08/2016;Itajaí;SC
VIAVETORIAL TELECOM EIRELI - EPP;20/08/2010;Rio Grande;RS
FORT SERVICO DE COMUNICACAO MULTIMIDIA EIRELI - ME;09/03/2017;Gaspar;SC
MAX TELECOM PROVEDOR DE ACESSO A INTERNET LTDA;14/06/2007;Paraguaçu;MG
REGINALDO LYRA DA SILVA;08/08/2016;Rio Largo;AL
E B N CERQUEIRA - EPP;26/12/2016;Irauçuba;CE
POLIANA C. DA SILVA;22/03/2013;Ariquemes;RO
RIZOLMAR A. DE OLIVEIRA - EPP;27/05/2014;Boa Vista;RR
NAVES TELECOMUNICAÇOES LTDA - ME;18/09/2012;São José do Rio Preto;SP
CONECTA ACRE LTDA;23/02/2015;Rio Branco;AC
DATACONNECTION PROVEDOR DE INTERNET LTDA   ME;06/09/2011;Esperança;PB
W.F - COMERCIO DE SUPRIMENTOS DE INFORMATICA LTDA;20/08/2010;Bocaiúva;MG
SGPIEDADENET - PROVEDOR DE INTERNET LTDA - ME;01/12/2015;São Geraldo da Piedade;MG
BORGES & CARDOSO - EQUIPAMENTOS DE INFORMATICA E PROVEDOR DE INTERNET LTDA - ME;16/04/2010;Ituverava;SP
AXNET PROVEDOR DE INTERNET E COMERCIO LTDA;15/10/2009;Machado;MG
CLOVIS DA SILVA ALBUQUERQUE INTERNET - ME;17/03/2017;Arapiraca;AL
SILFERNET COMERCIO E SERVICOS LTDA - ME;24/12/2014;Abel Figueiredo;PA
H. RIOS & R. FREITAS LTDA - ME;16/07/2014;Teresina;PI
VIA NOVA TELECOMUNICACOES LTDA;20/02/2009;Cabo Frio;RJ
MEGA WEB TELECOM LTDA - ME;04/07/2016;Suzano;SP
C. J. F. BATISTA  - ME;29/11/2017;Suzano;SP
ITNET LTDA - ME;17/11/2010;Itabaiana;SE
ELIAS & SANTOS LTDA - ME;03/05/2017;Foz do Iguaçu;PR
J.G. DA SILVA COMERCIO & SERVICOS LTDA - ME ;16/07/2014;Altamira;PA
M. M. TELECOMUNICAÇÕES E COMERCIO LTDA;11/05/2015;Altamira;PA
NETVIA TELECOM PROVEDOR DE INTERNET LTDA;20/08/2010;Formosa;GO
ACESSANET - TELECON LTDA - EPP;01/06/2017;Franco da Rocha;SP
REYVI INTERNET LTDA -ME;03/11/2016;Recreio;MG
M M I CABRAL;05/11/2009;Piraju;SP
GNET SOLUCOES EM INFORMATICA LTDA;22/02/2012;Brasília;DF
LUCAS DOS SANTOS RODRIGUES DE DARIO MEIRA - ME;14/10/2016;Dário Meira;BA
CANAL DIRETO COMERCIO E SERVIÇOS LTDA;20/12/2007;João Pessoa;PB
INNOVANET TELECOM LTDA. EPP;13/12/2011;São Fidélis;RJ
R&R PROVEDOR DE INTERNET LTDA - EPP;30/11/2006;Tupã;SP
REI DAS TECNOLOGIAS LTDA - ME;27/07/2016;Brasília;DF
WSP RONDONIA SERVICOS DE TELECOMUNICACOES EIRELI - ME;03/05/2017;Vilhena;RO
VIALINK INFORMÁTICA LTDA;19/07/2011;Rio de Janeiro;RJ
TEC NET PROVEDOR LTDA - ME;04/07/2016;Colatina;ES
JESSICA DA ROSA NUNES - ME;27/01/2017;Teodoro Sampaio;SP
SAPUCAIA COMERCIO E INFORMATICA LTDA-ME;26/01/2015;Sapucaia;RJ
CROHMA SOLUCOES LTDA - ME;04/07/2017;Viçosa;MG
REDE PMX EMPREENDIMENTOS LTDA - ME;15/03/2017;Coaraci;BA
NETSV SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA LTDA.;12/05/2010;São Valentim;RS
SMART LINCK TELECOMUNICAÇÕE3S LTDA;16/03/2016;Ribeirão Pires;SP
SPEED CONNECT - TECNOLOGIA E EQUIPAMENTOS LTDA;04/02/2010;Imperatriz;MA
HD TELECOM LTDA - ME;09/05/2016;Cariacica;ES
HAMTECH SOLUCOES TECNOLOGICAS LTDA - ME;16/08/2016;Mariana;MG
E. DE OMENA - ME;28/08/2017;Mogi Guaçu;SP
MASSANET TELECOMUNICACOES EIRELI - ME;30/05/2017;Serra Negra;SP
KSNET EIRELI - ME;30/04/2015;Vera Cruz do Oeste;PR
LIBERTI TELECOM E COMERCIO DE INFORMATICA LTDA - ME;17/09/2014;Fronteiras;PI
NASCIMENTO & FILHO LTDA - ME;22/07/2014;Passira;PE
S.G.DA SILVA - INTERNET - ME;17/11/2016;Severínia;SP
OYAMA BAHIA DA SILVA;01/07/2015;Simões Filho;BA
NEGER TELECOMUNICACOES LTDA;19/05/2009;Campinas;SP
EASY CALL SERVICOS DE COMUNICACAO E MULTIMIDIA DO BRASIL LTDA;06/10/2009;Salvador;BA
G A BICHARA - ME;22/10/2014;Benjamin Constant;AM
SPEED PONTO NET SERVICOS DE INFORMATICA LTDA - ME;18/04/2017;Itaporanga d'Ajuda;SE
ALENCAR COMERCIO E SERVIÇOS DE INFORMÁTICA EIRELI - ME;30/04/2013;Eusébio;CE
DUTRA E ASSOLINI INFORMATICA LTDA;30/10/2013;Cascavel;PR
PAIVA SANTANA TELECOMUNICAÇÕES LTDA-ME;21/09/2011;Porto Seguro;BA
CRISTIANO MARCOS BEERBAUM E CIA LTDA -ME;18/09/2014;Leopoldo de Bulhões;GO
MIX NET INFORMÁTICA LTDA - ME;19/08/2016;Piracicaba;SP
BRASCOM SOLUCOES E TECNOLOGIA LTDA - ME;13/02/2017;Rio de Janeiro;RJ
NORDESTE CONNECT INTERNET BANDA LARGA LTDA - ME;29/12/2016;Pombos;PE
INFO NET PROVEDOR DE COMUNICAÇÃO LTDA - ME;04/12/2013;Fortaleza;CE
GUEDES & TEBALDI LTDA - ME;22/12/2016;Tangará da Serra;MT
ZAVAZ INTERNET JANAUBA LTDA;31/05/2017;Janaúba;MG
MOBILE INFORMÁTICA LTDA - ME;07/10/2015;Bálsamo;SP
ELIVELTON PEREIRA DA SILVA 03944961161 - ME;27/11/2017;Senador Canedo;GO
NET ONNE COMERCIO E SERVICOS DE INFORMATICA LTDA - ME;22/09/2009;Paraguaçu Paulista;SP
ITANET SERVIOS & COMUNICAO LTDA;09/07/2015;Itabi;SE
DANIEL SILVINO ALVES ME;28/07/2016;Cacoal;RO
INFOCOMP INFORMATICA - EIRELI- ME;08/07/2015;Camapuã;MS
VIAON INTERNET LTDA - ME;24/02/2017;Colatina;ES
JK NET SERVIÇOS MULTIMÍDIA EIRELI - EPP;04/11/2015;São Paulo;SP
